year	prov	sex	ageGrp	pop
2547 	63 	1 	0 	23132
2547 	63 	1 	5 	23635
2547 	63 	1 	10 	22358
2547 	63 	1 	15 	42746
2547 	63 	1 	25 	43892
2547 	63 	1 	35 	41035
2547 	63 	1 	45 	29192
2547 	63 	1 	55 	16535
2547 	63 	1 	65 	15513
2547 	63 	2 	0 	21613
2547 	63 	2 	5 	21842
2547 	63 	2 	10 	20558
2547 	63 	2 	15 	40271
2547 	63 	2 	25 	41368
2547 	63 	2 	35 	39930
2547 	63 	2 	45 	28769
2547 	63 	2 	55 	16812
2547 	63 	2 	65 	18095
2547 	64 	1 	0 	17694
2547 	64 	1 	5 	22153
2547 	64 	1 	10 	22407
2547 	64 	1 	15 	44526
2547 	64 	1 	25 	54985
2547 	64 	1 	35 	55741
2547 	64 	1 	45 	39751
2547 	64 	1 	55 	22067
2547 	64 	1 	65 	21634
2547 	64 	2 	0 	16263
2547 	64 	2 	5 	20578
2547 	64 	2 	10 	21241
2547 	64 	2 	15 	43590
2547 	64 	2 	25 	55264
2547 	64 	2 	35 	58383
2547 	64 	2 	45 	43647
2547 	64 	2 	55 	25869
2547 	64 	2 	65 	30743
2547 	65 	1 	0 	25529
2547 	65 	1 	5 	31409
2547 	65 	1 	10 	31862
2547 	65 	1 	15 	68591
2547 	65 	1 	25 	75346
2547 	65 	1 	35 	76271
2547 	65 	1 	45 	53948
2547 	65 	1 	55 	29893
2547 	65 	1 	65 	29760
2547 	65 	2 	0 	24293
2547 	65 	2 	5 	29693
2547 	65 	2 	10 	29976
2547 	65 	2 	15 	65081
2547 	65 	2 	25 	74819
2547 	65 	2 	35 	79161
2547 	65 	2 	45 	57144
2547 	65 	2 	55 	33426
2547 	65 	2 	65 	38238
2547 	67 	1 	0 	33096
2547 	67 	1 	5 	38602
2547 	67 	1 	10 	39251
2547 	67 	1 	15 	84266
2547 	67 	1 	25 	95714
2547 	67 	1 	35 	87544
2547 	67 	1 	45 	62295
2547 	67 	1 	55 	36056
2547 	67 	1 	65 	35903
2547 	67 	2 	0 	31139
2547 	67 	2 	5 	36778
2547 	67 	2 	10 	36795
2547 	67 	2 	15 	80639
2547 	67 	2 	25 	92803
2547 	67 	2 	35 	89077
2547 	67 	2 	45 	64635
2547 	67 	2 	55 	38454
2547 	67 	2 	65 	43686
2548 	53 	1 	0 	13571
2548 	53 	1 	5 	16302
2548 	53 	1 	10 	16602
2548 	53 	1 	15 	33380
2548 	53 	1 	25 	40531
2548 	53 	1 	35 	41207
2548 	53 	1 	45 	33050
2548 	53 	1 	55 	18568
2548 	53 	1 	65 	18667
2548 	53 	2 	0 	12798
2548 	53 	2 	5 	15407
2548 	53 	2 	10 	15572
2548 	53 	2 	15 	32366
2548 	53 	2 	25 	40344
2548 	53 	2 	35 	42520
2548 	53 	2 	45 	34817
2548 	53 	2 	55 	20117
2548 	53 	2 	65 	23847
2548 	63 	1 	0 	23934
2548 	63 	1 	5 	24097
2548 	63 	1 	10 	23367
2548 	63 	1 	15 	43469
2548 	63 	1 	25 	44436
2548 	63 	1 	35 	41836
2548 	63 	1 	45 	30654
2548 	63 	1 	55 	17322
2548 	63 	1 	65 	15664
2548 	63 	2 	0 	22424
2548 	63 	2 	5 	22030
2548 	63 	2 	10 	21336
2548 	63 	2 	15 	40594
2548 	63 	2 	25 	41573
2548 	63 	2 	35 	40532
2548 	63 	2 	45 	30075
2548 	63 	2 	55 	17453
2548 	63 	2 	65 	18241
2548 	64 	1 	0 	17559
2548 	64 	1 	5 	21182
2548 	64 	1 	10 	22186
2548 	64 	1 	15 	43160
2548 	64 	1 	25 	53346
2548 	64 	1 	35 	54840
2548 	64 	1 	45 	41045
2548 	64 	1 	55 	22675
2548 	64 	1 	65 	21906
2548 	64 	2 	0 	16142
2548 	64 	2 	5 	19657
2548 	64 	2 	10 	20981
2548 	64 	2 	15 	42311
2548 	64 	2 	25 	53469
2548 	64 	2 	35 	57618
2548 	64 	2 	45 	45054
2548 	64 	2 	55 	26558
2548 	64 	2 	65 	31182
2548 	65 	1 	0 	24892
2548 	65 	1 	5 	29554
2548 	65 	1 	10 	30967
2548 	65 	1 	15 	66564
2548 	65 	1 	25 	72813
2548 	65 	1 	35 	74752
2548 	65 	1 	45 	55424
2548 	65 	1 	55 	30533
2548 	65 	1 	65 	30171
2548 	65 	2 	0 	23577
2548 	65 	2 	5 	27953
2548 	65 	2 	10 	29465
2548 	65 	2 	15 	62685
2548 	65 	2 	25 	72453
2548 	65 	2 	35 	77982
2548 	65 	2 	45 	58578
2548 	65 	2 	55 	34157
2548 	65 	2 	65 	38728
2548 	67 	1 	0 	31733
2548 	67 	1 	5 	36493
2548 	67 	1 	10 	38022
2548 	67 	1 	15 	80159
2548 	67 	1 	25 	92482
2548 	67 	1 	35 	85610
2548 	67 	1 	45 	63207
2548 	67 	1 	55 	35982
2548 	67 	1 	65 	35116
2548 	67 	2 	0 	30056
2548 	67 	2 	5 	34875
2548 	67 	2 	10 	35778
2548 	67 	2 	15 	77042
2548 	67 	2 	25 	89714
2548 	67 	2 	35 	87432
2548 	67 	2 	45 	66147
2548 	67 	2 	55 	38788
2548 	67 	2 	65 	43184
2549 	53 	1 	0 	13395
2549 	53 	1 	5 	15643
2549 	53 	1 	10 	16644
2549 	53 	1 	15 	32734
2549 	53 	1 	25 	39567
2549 	53 	1 	35 	41020
2549 	53 	1 	45 	33928
2549 	53 	1 	55 	19416
2549 	53 	1 	65 	18919
2549 	53 	2 	0 	12564
2549 	53 	2 	5 	14768
2549 	53 	2 	10 	15530
2549 	53 	2 	15 	31598
2549 	53 	2 	25 	39266
2549 	53 	2 	35 	42324
2549 	53 	2 	45 	35769
2549 	53 	2 	55 	21051
2549 	53 	2 	65 	24299
2549 	63 	1 	0 	24034
2549 	63 	1 	5 	24036
2549 	63 	1 	10 	24029
2549 	63 	1 	15 	43583
2549 	63 	1 	25 	44297
2549 	63 	1 	35 	41958
2549 	63 	1 	45 	31635
2549 	63 	1 	55 	17950
2549 	63 	1 	65 	16072
2549 	63 	2 	0 	22572
2549 	63 	2 	5 	22116
2549 	63 	2 	10 	21945
2549 	63 	2 	15 	40599
2549 	63 	2 	25 	41448
2549 	63 	2 	35 	40700
2549 	63 	2 	45 	31109
2549 	63 	2 	55 	18096
2549 	63 	2 	65 	18759
2549 	64 	1 	0 	17521
2549 	64 	1 	5 	20132
2549 	64 	1 	10 	22232
2549 	64 	1 	15 	42433
2549 	64 	1 	25 	51912
2549 	64 	1 	35 	54562
2549 	64 	1 	45 	42377
2549 	64 	1 	55 	23718
2549 	64 	1 	65 	22415
2549 	64 	2 	0 	16007
2549 	64 	2 	5 	18639
2549 	64 	2 	10 	20860
2549 	64 	2 	15 	41557
2549 	64 	2 	25 	51744
2549 	64 	2 	35 	57496
2549 	64 	2 	45 	46366
2549 	64 	2 	55 	27779
2549 	64 	2 	65 	31841
2549 	65 	1 	0 	24899
2549 	65 	1 	5 	28124
2549 	65 	1 	10 	30731
2549 	65 	1 	15 	65647
2549 	65 	1 	25 	71478
2549 	65 	1 	35 	74422
2549 	65 	1 	45 	57435
2549 	65 	1 	55 	31901
2549 	65 	1 	65 	31032
2549 	65 	2 	0 	23409
2549 	65 	2 	5 	26607
2549 	65 	2 	10 	29407
2549 	65 	2 	15 	62575
2549 	65 	2 	25 	71013
2549 	65 	2 	35 	77929
2549 	65 	2 	45 	60665
2549 	65 	2 	55 	35618
2549 	65 	2 	65 	39847
