distID x y distcode distname provname
90 639630.00 1630859.44 1505 "Sawaeng Ha" "Angthong"
91 641189.12 1610874.91 1506 "Wiset Chaichan" "Angthong"
92 634689.46 1614974.92 1507 "Samko" "Angthong"
93 684034.08 1638077.98 1601 "Muang Lop Buri" "Lopburi"
94 722467.45 1646695.53 1602 "Phatthana Nikhom" "Lopburi"
95 691572.86 1663566.53 1603 "Khok Samrong" "Lopburi"
96 726971.16 1679810.57 1604 "Chai Badan" "Lopburi"
97 661295.62 1636900.46 1605 "Tha Wung" "Lopburi"
98 666052.98 1667569.02 1606 "Ban Mi" "Lopburi"
99 736948.94 1666111.57 1607 "Tha Luang" "Lopburi"
100 701962.39 1686960.56 1608 "Sra Bot" "Lopburi"
101 699498.53 1702962.08 1609 "Khok Charoen" "Lopburi"
102 752536.22 1693666.12 1610 "Lam Son Thi" "Lopburi"
103 682992.37 1691169.56 1611 "Nong Muang" "Lopburi"
104 650065.90 1647455.98 1701 "Muang Sing Buri" "Singburi"
105 637011.52 1647016.46 1702 "Bang Rachan" "Singburi"
106 639253.20 1639409.95 1703 "Khai Bang Rachan" "Singburi"
107 656151.36 1635704.46 1704 "Phrom Buri" "Singburi"
108 648795.25 1634566.46 1705 "Tha Chang" "Singburi"
109 645875.29 1661129.49 1706 "In Buri" "Singburi"
110 625273.51 1679810.00 1801 "Muang Chai Nat" "Chainat"
111 624451.00 1695134.53 1802 "Manorom" "Chainat"
112 603184.04 1682537.50 1803 "Wat Sing" "Chainat"
113 635398.62 1674168.01 1804 "Sanphaya" "Chainat"
114 625624.51 1660837.98 1805 "Sankha Buri" "Chainat"
115 600119.76 1661555.48 1806 "Han Kha" "Chainat"
116 589255.03 1683761.01 1807 "Nong Ma Mong" "Chainat"
117 590849.95 1657417.46 1808 "Noen Kham" "Chainat"
118 707180.72 1603761.95 1901 "Muang Saraburi" "Saraburi"
119 723006.54 1612453.98 1902 "Kaeng Khoi" "Saraburi"
120 700347.65 1587636.92 1903 "Nong Khae" "Saraburi"
121 713227.51 1585848.93 1904 "Wihan Daeng" "Saraburi"
122 693891.42 1602051.94 1905 "Nong Saeng" "Saraburi"
123 685548.00 1615166.95 1906 "Ban Mo" "Saraburi"
124 674596.89 1615785.44 1907 "Don Phut" "Saraburi"
125 682354.59 1625691.97 1908 "Nong Don" "Saraburi"
126 696105.81 1625680.48 1909 "Phra Phutthabat" "Saraburi"
127 697488.41 1614429.46 1910 "Sao Hai" "Saraburi"
128 743913.72 1629718.04 1911 "Muak Lek" "Saraburi"
129 731337.81 1639215.52 1912 "Wang Muang" "Saraburi"
130 705629.20 1620844.47 1913 "Chalermphrakiet" "Saraburi"
131 715058.13 1477104.20 2001 "Muang Chon Buri" "Chonburi"
132 737242.17 1465100.20 2002 "Ban Bung" "Chonburi"
133 756908.97 1454179.70 2003 "Nong Yai" "Chonburi"
134 714766.33 1430035.10 2004 "Bang Lamung" "Chonburi"
135 726156.92 1489085.25 2005 "Phan Thong" "Chonburi"
136 741716.71 1488747.76 2006 "Phanat Nikhom" "Chonburi"
137 722237.96 1453550.66 2007 "Si Racha" "Chonburi"
138 696010.07 1454367.14 2008 "Ko Sichang" "Chonburi"
139 709242.85 1407833.54 2009 "Sattahip" "Chonburi"
