countryId x y
1 6010875.658 3625268.802
2 1744536.035 4399137.122
3 151061.196 2998290.224
4 135331.411 4545953.669
5 1678187.156 -1273898.688
6 -5867431.729 1950071.957
7 -384.914 -7834691.572
8 -5757942.902 1826550.696
9 -5610191.247 -3965726.828
10 3901398.087 4301233.263
11 -6561378.090 1338179.706
12 12268069.310 -2665291.494
13 1110368.447 5086645.606
14 4206144.644 4296152.914
15 -2492948.762 4119907.561
16 -7176117.493 2651501.912
17 4638851.557 2783902.047
18 8321804.175 2554953.226
19 -5582605.104 1411357.798
20 2223426.805 5706130.568
21 366021.792 5377067.712
22 -8267740.206 1838623.724
23 213125.850 992786.710
24 -5821470.516 3457246.166
25 8265894.339 2937520.224
26 -5932664.979 -1743580.989
27 1506961.108 4690986.930
28 2276617.107 -2386283.619
29 -4568453.614 -1346411.117
30 -6012388.581 1970111.307
31 10809645.250 481167.165
32 2174684.427 4564271.377
33 -146325.530 1313667.492
34 2823656.332 -362949.069
35 9842478.766 1343117.006
36 1184104.468 571239.971
37 -7529096.246 5966439.749
38 -2337177.851 1803092.944
39 -7548839.384 2067721.735
40 1975998.183 702214.473
41 1757636.145 1659521.465
42 -6333553.836 -3817361.720
43 8838388.206 3921393.628
44 -6878860.965 433904.262
45 4068829.276 -1248953.477
46 1518355.889 8247.652
47 -15593672.900 -1268705.227
48 -7886183.280 1071353.495
49 1306653.102 4777194.305
50 -7212288.817 2302999.341
51 2982242.147 3759470.777
52 1270123.426 5306256.405
53 742378.719 5965268.984
54 3999895.075 1242382.573
55 -5735561.179 1646103.174
56 -6522107.181 2002628.046
57 -7371908.394 -190911.466
58 2773361.611 2855711.597
59 -8332225.565 1475857.415
60 983548.480 178991.338
61 3620632.091 1626865.532
62 1962724.509 6210684.405
63 3717388.921 914323.057
64 -4796405.855 -5510443.216
65 16578924.190 -1899606.120
66 1871918.391 6811552.975
67 1876595.182 4445675.840
68 144549.149 4985391.675
69 -5015248.959 421427.201
70 -13923248.210 -1884945.164
71 1099470.447 -95543.094
72 -1336441.320 1435773.358
73 3704744.640 4563121.769
74 849914.882 5435554.832
75 -95087.587 851953.316
76 -474206.054 3864397.926
77 1750287.471 4243181.071
78 -2814825.141 7428784.902
79 -5788555.673 1295858.467
80 -5759012.716 1735162.194
81 13567759.300 1435805.806
82 -8429389.383 1687991.236
83 -1070671.265 1067653.177
84 -1358435.544 1263745.571
85 -5557127.062 527494.203
86 -6712215.759 2025801.691
87 -8071447.185 1543597.676
88 1629235.027 5031085.352
89 -1363183.182 6813227.455
90 7640357.067 2410610.909
91 10763706.180 18549.632
92 4831143.981 3470755.763
93 3914820.733 3550074.161
94 4148668.553 3114214.728
95 -657515.762 5676278.989
96 3151869.970 3355254.172
97 1079754.009 4541823.064
98 -515841.855 804710.621
99 -7192021.249 1940234.438
100 12293490.960 3911668.048
101 3352232.225 3345952.351
102 5520623.371 5148471.983
103 3580573.666 -2843.158
104 -14858237.670 198598.452
105 11080449.250 4317992.103
106 11327937.430 3905994.575
107 4314921.089 3132043.238
108 6506642.180 4421084.265
109 9744580.322 1943002.746
110 1905276.683 6043554.612
111 3203760.399 3623153.589
112 2561713.515 -3167969.787
113 -888533.951 686161.273
114 1582236.174 2816478.308
115 797327.103 5030361.651
116 1866110.462 5880638.968
117 503151.454 5306010.241
118 4362463.726 -2013725.877
119 3215686.074 -1419195.932
