plotid	x	y	distname	distcode
1134	829139.51	1385938.13	Bang Kachai	220607
1135	842984.90	1458543.32	Pa Tong	220701
1136	860726.90	1466700.39	Thung Khanan	220702
1137	842178.03	1466554.84	Thap Chang	220703
1138	853428.29	1448354.82	Sai Khao	220704
1139	861916.03	1456994.36	Saton	220705
1140	819083.55	1436286.23	Kaeng Hang Maeo	220801
1141	821786.87	1458587.31	Khun Chong	220802
1142	808731.11	1444573.74	Sam Phi Nong	220803
1143	801983.14	1449464.26	Pwa	220804
1144	807046.54	1426542.20	Khao Wongkot	220805
1145	809840.01	1414599.68	Na Yai Am	220901
1146	818751.10	1405931.16	Wang Tanot	220902
1147	810303.18	1405308.66	Krachae	220903
1148	813850.84	1401655.14	Sanamchai	220904
1149	806311.57	1406761.16	Chang Kham	220905
1150	815723.92	1415692.19	Wang Mai	220906
1151	834121.82	1416920.72	Sak Thai	221001
1152	837177.75	1419693.24	Pluang	221002
1153	839569.95	1431513.76	Takien Tong	221003
1154	827610.82	1433290.24	Klong Plu	221004
1155	834899.27	1445589.29	Chantaklem	221005
1156	882640.71	1356093.47	Bang Phra	230101
1157	880625.51	1352591.13	Nong Samet	230102
1158	876511.11	1352662.11	Nong Sanon	230103
1159	885397.22	1350215.64	Nong Khan Song	230104
1160	882780.08	1343634.62	Huang Nam Khao	230105
1161	887918.86	1337516.10	Ao Yai	230106
1162	877002.50	1361376.64	Wang Krachae	230107
1163	887438.09	1371737.20	Huai Raeng	230108
1164	887671.21	1359519.66	Noen Sai	230109
1165	890099.67	1355631.67	Tha Phrik	230110
1166	899622.77	1366937.20	Tha Kum	230111
1167	898310.89	1356566.67	Takang	230112
1168	899029.55	1351838.66	Chamrak	230113
1169	908073.37	1336784.11	Laem Klat	230114
1170	922256.45	1307015.07	Khlong Yai	230201
1171	915147.76	1318798.60	Mai Rut	230202
1172	926032.43	1296563.55	Hat Lek	230203
1173	874523.37	1368274.14	Khao Saming	230301
1174	867629.15	1370335.16	Saen Tung	230302
1175	880026.35	1379204.19	Wang Ta Khian	230303
1176	862546.26	1361555.62	Tha Som	230304
1177	874368.03	1386501.20	Sato	230305
1178	864928.21	1386559.19	Pranit	230306
1179	873278.73	1378813.70	Thapnimit	230307
1180	878351.67	1371177.17	Thung Nontri	230308
1181	887348.35	1392781.74	Bo Ploi	230401
1182	877263.72	1396781.23	Chang Thun	230402
1183	898612.10	1379777.73	Dan Chumphon	230403
1184	874421.75	1404762.24	Nong Bon	230404
1185	891957.91	1389020.25	Nontri	230405
1186	872481.20	1350099.10	Laem Ngop	230501
1187	874190.10	1351322.62	Nam Chieo	230502
1188	858463.26	1356058.10	Bang Pit	230503
1189	864287.83	1354629.60	Khlong Yai	230507
1190	878911.30	1308723.00	Ko Mak	230601
1191	888765.16	1291919.46	Ko Kut	230602
1192	860392.53	1340270.54	Ko Chang	230701
1193	866694.17	1330909.55	Ko Chang Tai	230702
1194	723829.60	1514438.08	Na Muang	240101
1195	723189.13	1519256.80	Sothon	240102
1196	727180.05	1516302.31	Ban Mai	240103
1197	727323.15	1509349.29	Khlong Na	240104
1198	726295.84	1511972.79	Bang Tin Pet	240105
1199	728650.36	1512781.82	Bang Phai	240106
1200	729694.36	1514427.30	Khlong Chuk Krachoei	240107
1201	728360.54	1519775.32	Bang Kaeo	240108
1202	723886.43	1521508.32	Bang Khuan	240109
1203	717360.23	1521948.82	Khlong Nakhon Nuang Khet	240110
1204	718489.73	1518056.29	Wang Ta Khian	240111
1205	720789.84	1512828.28	Sothon	240112
1206	721919.46	1509735.29	Bang Phra	240113
1207	717603.49	1512022.80	Bang Ka Hi	240114
1208	713421.87	1520408.82	Nam Daeng	240115
1209	708685.57	1516396.28	Khlong Preng	240116
1210	708187.98	1519463.29	Khlong Udomchonchon	240117
1211	705672.87	1520628.77	Khlong Luang Phaeng	240118
1212	716154.20	1516031.30	Bang Toei	240119
1213	738779.22	1518312.32	Bang Khla	240201
1214	735626.02	1515276.81	Bang Suan	240204
1215	738125.29	1532167.83	Bang Krachet	240208
1216	738986.19	1520431.82	Pak Nam	240209
1217	740211.86	1515302.81	Tha Thonglang	240210
1218	732868.76	1514464.31	Sao Cha Ngok	240211
1219	739170.36	1512906.81	Samet Nua	240212
1220	735879.36	1509360.30	Samet Tai	240213
1221	739943.89	1527183.36	Hua Sai	240214
1222	716720.43	1529287.32	Bang Nam Prieo	240301
1223	728919.78	1532663.34	Bang Khanak	240302
1224	720757.27	1538353.34	Singto Thong	240303
1225	720815.42	1534744.84	Monthong	240304
1226	708232.89	1538667.33	Bung Nam Rak	240305
1227	721269.07	1542582.35	Don Koka	240306
1228	729989.49	1540191.85	Yotaka	240307
1229	712339.24	1538880.34	Don Chimphli	240308
1230	710395.67	1527970.83	Sala Daeng	240309
1231	722606.59	1527775.83	Phrong A-kat	240310
1232	713130.05	1493137.24	Bang Pakong	240401
1233	716275.76	1499088.75	Tha Sa-an	240402
1234	713302.96	1501051.26	Bang Wua	240403
1235	711190.00	1500574.77	Bang Samak	240404
1236	721728.59	1495668.11	Bang Phung	240405
1237	709216.49	1496475.24	Bang Klua	240406
1238	704576.15	1493598.23	Song Khlong	240407
1239	714894.55	1504796.77	Nong Chok	240408
1240	710217.80	1505838.77	Phimpha	240409
1241	717368.87	1491439.75	Tha Kham	240410
1242	705986.94	1498150.75	Hom Sil	240411
1243	719896.87	1496451.26	Kao Din	240412
1244	725256.86	1503369.77	Ban Pho	240501
1245	712370.99	1512906.29	Ko Rai	240502
1246	735695.58	1506424.29	Khlong Khut	240503
1247	722374.30	1502288.78	Khlong Ban Pho	240504
1248	718874.51	1508030.27	Khlong Prawet	240505
1249	730609.26	1507867.29	Don Sai	240506
1250	714695.51	1509652.77	Thappharat	240507
1251	725012.25	1506772.79	Tha Phlap	240508
1252	727153.16	1502165.27	Nong Tin Nok	240509
1253	727498.62	1506304.28	Nong Bua	240510
1254	721899.55	1499795.76	Bang Son	240511
1255	723460.21	1507800.27	Bang Krut	240512
1256	739098.39	1503835.80	Laem Pradu	240513
1257	718909.61	1504353.28	Lat Khwang	240514
1258	722090.65	1504988.77	Sanam Chan	240515
1259	718436.25	1502401.27	Saen Phu Dat	240516
1260	732917.62	1504625.29	Sip Et Sok	240517
1261	760520.94	1514059.85	Ko Khanun	240601
1262	760426.59	1526539.88	Ban Song	240602
1263	752063.55	1522196.33	Phanom Sarakham	240603
1264	750156.97	1518948.35	Muang Kao	240604
1265	753606.78	1528362.36	Nong Yao	240605
1266	756210.58	1519829.85	Tha Than	240606
1267	752936.02	1511499.32	Nong Haen	240607
1268	771124.26	1521374.86	Khao Hin Son	240608
1269	746336.85	1524106.34	Bang Kha	240701
1270	745824.87	1517809.84	Muang Mai	240702
1271	746499.00	1530856.87	Dong Noi	240703
1272	772553.26	1510587.33	Khu Yai Mi	240801
1273	793989.80	1510249.86	Tha Kradan	240802
1274	789659.92	1519715.88	Thung Phraya	240803
1275	770838.23	1498014.81	Latkrathing	240805
1276	748003.04	1504966.30	Plaeng Yao	240901
1277	751161.83	1499118.79	Wang Yen	240902
1278	750030.02	1508226.31	Hua Samrong	240903
1279	757394.71	1498414.30	Nong Mai Kaen	240904
1280	796691.71	1493405.82	Tha Ta Kieb	241001
1281	795167.85	1476567.31	Khlong Takrao	241002
1282	730760.64	1522736.82	Kon Kaeo	241101
1283	735132.64	1524897.82	Khlong Khuan	241102
1284	732741.85	1517299.31	Bang Lao	241103
1285	731238.60	1529172.32	Bang Rong	241104
1286	735792.56	1519481.33	Bang Talat	241105
1287	755842.48	1555839.91	Na Muang	250101
1288	753420.19	1555239.93	Rop Muang	250102
1289	749298.08	1552615.90	Wat Bot	250103
1290	753668.24	1549439.41	Bang Decha	250104
1291	760992.41	1551348.91	Tha Ngam	250105
1292	760679.90	1552994.91	Bang Boribun	250106
1293	758189.19	1556424.41	Dong Phra Ram	250107
1294	757343.99	1562119.93	Ban Phra	250108
1295	749373.97	1565658.92	Khok Mai Lai	250109
1296	751652.09	1561700.92	Mai Khet	250110
1297	761886.64	1564322.95	Dong Khi Lek	250111
1298	756706.17	1571717.44	Noen Hom	250112
1299	765367.20	1558864.43	Non Hom	250113
1300	792627.05	1540735.44	Kabin	250201
1301	798214.74	1549384.97	Muang Kao	250202
1302	785496.21	1549541.44	Wang Dan	250203
1303	787611.78	1555543.44	Nonsi	250204
1304	800196.75	1539864.93	Yan Ri	250205
1305	808577.07	1532616.43	Wang Ta Khian	250206
1306	784882.98	1544117.93	Hat Nang Kaeo	250207
1307	788522.85	1534144.42	Lat Ta Khian	250208
1308	810947.10	1548812.96	Ban Na	250209
1309	807934.96	1544079.96	Bo Thong	250210
1310	806037.74	1556578.47	Nong Ki	250211
1311	793822.34	1555487.95	Na Khaem	250212
1312	799815.62	1529332.41	Khao Mai Kaeo	250213
1313	805420.75	1519350.41	Wang Tha Chang	250214
1314	804017.36	1567729.49	Na Di	250301
1315	797294.06	1564654.98	Lam Phan Ta	250302
1316	790830.35	1570397.48	Saphan Hin	250303
1317	815562.05	1566016.50	Thung Pho	250304
1318	823342.21	1560092.02	Kaeng Din So	250305
1319	802861.21	1582157.02	Bu Phram	250306
1320	741630.12	1549956.37	Ban Sang	250601
1321	736875.07	1547505.88	Bang Krabao	250602
1322	732064.95	1545261.37	Bang Toei	250603
1323	736728.38	1541258.85	Bang Yang	250604
1324	735612.69	1536762.37	Bang Taen	250605
1325	748056.14	1548627.89	Bang Phuang	250606
1326	748449.85	1540247.87	Bang Pla Ra	250607
1327	744166.54	1537987.87	Bang Kham	250608
1328	753286.60	1536895.88	Krathum Phaeo	250609
1329	769527.80	1554359.42	Prachantakham	250701
1330	771691.12	1551641.44	Ko Loi	250702
1331	777142.18	1549693.92	Ban Hoi	250703
1332	776346.45	1554566.93	Nong Saeng	250704
1333	781597.26	1555178.46	Dong Bang	250705
1334	785069.33	1577455.98	Kham Tanot	250706
1335	777054.56	1579284.46	Bu Fai	250707
1336	772915.39	1567276.97	Nong Kaeo	250708
1337	771098.99	1579052.46	Pho Ngam	250709
1338	776150.70	1536131.89	Sri Maha Pho	250801
1339	768965.25	1548090.40	Samphan	250802
1340	777188.47	1547284.92	Ban Tham	250803
1341	778428.33	1542195.42	Tha Tum	250804
1342	766111.35	1545572.90	Bang Kung	250805
1343	760861.10	1544374.41	Dong Krathong Yam	250806
1344	773590.92	1535368.38	Nong Phrong	250807
1345	769363.84	1534240.89	Hua Wa	250808
1346	761292.96	1547780.90	Hat Yang	250809
1347	778898.10	1534427.89	Krok Som Bun	250810
1348	760206.50	1536806.90	Khok Pip	250901
1349	764776.53	1532291.89	Khok Thai	250902
1350	759889.35	1540872.38	Khu Lam Phan	250903
1351	756210.46	1541730.90	Phai Chaluat	250904
1352	739750.55	1571733.92	Nakhon Nayok	260101
1353	734314.21	1569986.91	Tha Chang	260102
1354	738558.49	1572255.42	Ban Yai	260103
1355	739074.86	1568894.92	Wang Krachom	260104
1356	729382.04	1568823.91	Tha Sai	260105
1357	727612.34	1563188.40	Don Yo	260106
1358	732800.91	1555630.89	Sri Chula	260107
1359	734775.79	1563537.41	Dong Lakhon	260108
1360	745722.20	1573460.44	Srinawa	260109
1361	743428.51	1588770.45	Sarika	260110
1362	753029.83	1590794.49	Hin Tung	260111
1363	737774.92	1582222.44	Khao Phra	260112
1364	733709.33	1578992.93	Phrommani	260113
1365	745285.16	1567571.93	Ko Wai	260201
1366	740603.45	1566149.42	Ko Pho	260202
1367	746898.17	1561678.90	Pak Phli	260203
1368	748923.57	1569407.92	Khok Kruat	260204
1369	741822.31	1558435.89	Tha Rua	260205
1370	748651.35	1573283.95	Nang Saeng	260206
1371	759933.80	1580981.46	Na Hin Lat	260207
1372	722752.40	1577584.92	Ban Na	260301
1373	727646.17	1575532.92	Ban Phrao	260302
1374	715881.32	1579956.41	Ban Phrik	260303
1375	719109.63	1573230.90	Asa	260304
1376	720428.98	1571128.89	Thong Lang	260305
1377	724093.77	1568416.40	Bang O	260306
1378	720678.02	1576699.92	Phikun Ok	260307
1379	723704.58	1581401.91	Pa Kha	260308
1380	726774.17	1589791.94	Khao Phoem	260309
1381	729451.97	1582826.92	Sri Sa-ang	260310
1382	712429.94	1549921.86	Phra Achan	260401
1383	709117.61	1554870.36	Bung San	260402
1384	717262.11	1553466.87	Srisa Krabu	260403
1385	711220.81	1571292.41	Pho Thaen	260404
1386	729084.17	1549801.37	Bang Sombun	260405
1387	720289.15	1563678.38	Sai Mun	260406
1388	712192.12	1567172.90	Bang Pla Kot	260407
1389	723743.75	1555021.37	Bang Luk Sua	260408
1390	716818.70	1559287.87	Ongkharak	260409
1391	709180.30	1548248.36	Shum Pol	260410
1392	711201.73	1560329.88	Khlong Yai	260411
1393	831920.81	1528558.97	Sa Kaeo	270101
1394	823027.12	1545965.49	Ban Kaeng	270102
1395	820261.19	1535042.46	Sala Lamduan	270103
1396	840639.67	1552240.53	Khok Pi Khong	270104
1397	843644.16	1543988.01	Tha Yaek	270105
1398	842223.93	1524248.47	Tha Kasem	270106
1399	825655.21	1523511.44	Sra Khuan	270108
1400	837152.71	1533236.97	Nong Bon	270111
1401	857834.90	1488723.92	Khlong Hat	270201
1402	852239.41	1485088.39	Thai U Dom	270202
1403	847934.38	1496960.92	Sup Ma Krut	270203
1404	846204.92	1503816.94	Sai Dieo	270204
1405	857470.68	1478458.40	Klong Kai Tuan	270205
1406	855737.94	1498241.45	Benjachorn	270206
1407	855813.08	1505701.95	Sai Thong	270207
1408	907890.20	1550586.62	Ta Phraya	270301
1409	916257.81	1556635.15	Thap Sadet	270302
1410	893328.32	1559262.61	Thap Rat	270306
1411	916001.78	1564313.66	Thap Thai	270307
1412	895691.85	1546257.60	Kok Klan	270309
1413	842730.63	1497581.40	Wang Nam Yen	270401
1414	835297.72	1495856.91	Ta Lang Nai	270403
1415	836493.85	1506653.44	Khong Hin Pun	270405
1416	825748.92	1493213.38	Thung Mahar Charoen	270406
1417	860034.66	1521047.49	Watthana Nakhon	270501
1418	849210.25	1511624.96	Tha Kwian	270502
1419	866855.02	1517262.99	Phak Kha	270503
1420	852370.23	1532543.51	Non Mak Keng	270504
1421	865541.58	1535457.02	Nong Nam Sai	270505
1422	871604.97	1551595.56	Chong Khum	270506
1423	864799.25	1529049.01	Nong Waeng	270507
1424	876763.57	1552483.07	Sae O	270508
1425	862715.72	1552291.05	Nong Mak Fai	270509
1426	851632.82	1541940.02	Nong Takien Bon	270510
1427	851676.35	1521519.97	Huai Chot	270511
1428	881373.94	1515257.52	Aranyaprathet	270601
1429	872252.33	1511991.98	Muang Pai	270602
1430	874735.17	1529723.04	Han Sai	270603
1431	880811.62	1505121.49	Klong Nam Sai	270604
1432	885993.01	1510185.52	Tha Kham	270605
1433	887913.29	1521016.02	Pa Rai	270606
1434	861272.55	1498673.94	Thap Prik	270607
1435	877417.83	1517773.99	Ban Mai Nong Sai	270608
1436	867609.35	1504980.97	Pan Suk	270609
1437	882916.41	1529140.54	Nong Sang	270610
1438	865767.28	1512355.49	Klong Thap Chan	270611
1439	877091.09	1510785.49	Fak Huai	270612
1440	875438.51	1520760.00	Ban Dan	270613
1441	835228.98	1516969.94	Khao Chakan	270701
1442	823742.92	1513039.42	Nong Wa	270702
1443	825662.22	1500730.88	Phra Phloeng	270703
1444	840119.34	1514880.45	Khao Samsip	270704
1445	899106.97	1531471.57	Kok Sung	270801
1446	887324.56	1539265.57	Nong Muang	270802
1447	900478.39	1540359.10	Nong Waeng	270803
1448	896718.35	1525920.07	Non Mak Mun	270804
1449	848688.52	1475667.87	Wang Som Bun	270901
1450	827184.84	1483698.37	Wang Mai	270902
1451	841301.37	1475786.88	Wang Thong	270903
1452	833800.50	1658204.16	Nai Muang	300101
1453	833838.21	1652299.17	Pho Klang	300102
1454	830441.70	1651594.16	Nong Chabok	300103
1455	838652.93	1670484.69	Khok Sung	300104
1456	840610.25	1659325.67	Ma Roeng	300105
1457	844107.23	1655366.19	Nong Rawiang	300106
1458	828730.05	1654355.65	Pru Yai	300107
1459	832999.34	1662265.68	Mun Wai	300108
1460	823397.68	1664240.17	Phon Krung	300109
1461	831700.10	1654750.65	Nong Phai Lom	300110
1462	837292.81	1657450.88	Hua Thale	300111
1463	837422.35	1662099.17	Ban Ko	300112
1464	824825.02	1656652.16	Ban Mai	300113
1465	827002.17	1665514.17	Phut Sa	300114
1466	844624.65	1668654.20	Ban Pho	300115
1467	838096.42	1665559.69	Cho Ho	300116
1468	819487.71	1647247.14	Khok Kruat	300117
1469	831101.59	1642798.14	Chai Mongkon	300118
1470	839479.27	1652406.67	Nong Bua Sala	300119
1471	824971.81	1649322.15	Suranari	300120
1472	823314.68	1659825.66	Si Mum	300121
1473	840964.39	1666672.19	Ta Lat	300122
1474	843922.20	1659440.69	Pa Nao	300123
1475	827533.92	1661156.67	Nong Krathum	300124
1476	841860.28	1672497.79	Nong Kai Nam	300125
1477	851043.58	1613654.15	Chae	300201
1478	854272.25	1604093.61	Chaliang	300202
1479	835126.27	1613472.60	Khon Buri	300203
1480	851053.48	1593005.60	Khok Krachai	300204
1481	834333.55	1587701.06	Chorakhe Hin	300205
1482	859787.40	1611998.15	Map Tako En	300206
1483	844938.83	1612602.12	Orapim	300207
1484	848566.82	1602389.60	Ban Mai	300208
1485	857545.75	1581260.61	Lam Piek	300209
1486	834833.09	1607144.09	Khonburi Tai	300210
1487	861077.57	1598959.13	Ta Baek Ban	300211
1488	865039.96	1608773.14	Sa Wan Phaya	300212
1489	870185.28	1597881.66	Soeng Sang	300301
1490	883690.32	1585242.13	Sra Ta Khian	300302
1491	866401.91	1574517.11	Non Sombun	300303
1492	881707.42	1601741.66	Kut Bot	300304
1493	871603.16	1608573.14	Suk Pai Bun	300305
1494	873150.12	1579719.11	Ban Rat	300306
1495	857415.73	1711560.28	Muang Khong	300401
1496	866067.49	1709224.78	Khu Khat	300402
1497	872447.66	1701652.76	Thephalai	300403
1498	864559.45	1695809.76	Ta Chan	300404
1499	829272.61	1713546.23	Ban Prang	300405
1500	850333.98	1716534.76	Nong Manao	300406
1501	838358.26	1716076.25	Nong Bua	300407
1502	847975.19	1710833.75	Non Teng	300408
1503	857058.94	1705695.75	Don Yai	300409
1504	864324.40	1700956.28	Kham Som Bun	300410
1505	831886.69	1729133.76	Ban Luam	300501
1506	833321.50	1723572.73	Wang Pho	300502
1507	841906.99	1725835.26	Khok Krabuang	300503
1508	829385.35	1721470.23	Cho Raka	300504
1509	867635.67	1664365.73	Chakkarat	300601
1510	861870.15	1663142.21	Thong Lang	300603
1511	863809.39	1647993.21	Si Suk	300604
1512	877109.47	1653764.22	Nong Kham	300605
1513	864926.89	1671406.22	Nong Pluang	300607
1514	869352.73	1654462.22	Si La Ko	300610
1515	876754.56	1644295.72	Klong Muang	300611
1516	875929.91	1662580.74	Hin Kon	300613
1517	843018.72	1628534.65	Kra Tok	300701
1518	837927.69	1633622.64	Phlup Phla	300702
1519	840262.93	1638869.65	Tha Ang	300703
1520	846716.94	1619514.13	Thung Arun	300704
1521	840026.86	1623716.14	Tha Lat Khao	300705
1522	850293.62	1646147.67	Tha Chalung	300706
1523	848350.57	1626712.15	Tha Yiem	300707
1524	841472.91	1631948.64	Chok Chai	300708
1525	849470.10	1637519.16	Lalummai Pattana	300709
1526	842472.62	1645023.16	Dan Kwien	300710
1527	795506.12	1691980.67	Kut Phiman	300801
1528	799585.95	1682107.65	Dan Khun Thot	300802
1529	806728.17	1677670.16	Dan Nok	300803
1530	804853.68	1671074.66	Dan Nai	300804
1531	791658.65	1673896.64	Ta Khian	300805
1532	787159.04	1683962.65	Ban Khao	300806
1533	801197.13	1701944.18	Ban Prang	300807
1534	789074.13	1689186.13	Phan Chana	300808
1535	803160.21	1678695.67	Sra Chorakhe	300809
1536	788001.97	1699233.67	Nong Krat	300810
1537	802590.77	1692361.67	Nong Bua Takiat	300811
1538	808008.91	1687724.17	Nong Bua Lakhon	300812
1539	779387.35	1676774.62	Hin Dat	300813
1540	765356.38	1678288.61	Huai Bong	300815
1541	810364.10	1694327.69	Non Muang Pattana	300817
1542	806491.73	1701062.69	Nong Sai	300818
1543	830185.91	1683441.69	Non Thai	300901
1544	835840.51	1680647.19	Dan Chak	300902
1545	828835.48	1673888.68	Kam Pang	300903
1546	824460.58	1675258.68	Samrong	300904
1547	820916.06	1678652.68	Khang Phlu	300905
1548	813278.21	1676615.66	Ban Wang	300906
1549	815207.80	1686891.18	Banlang	300907
1550	825338.64	1690443.21	Sai O	300908
1551	836217.24	1692312.71	Thanon Pho	300909
1552	833624.64	1689738.70	Ma Ka	300914
1553	849842.91	1681809.71	Non Sung	301001
1554	850167.50	1676369.72	Mai	301002
1555	852253.29	1670397.72	Tanot	301003
1556	858281.29	1673661.21	Bing	301004
1557	858877.48	1680015.23	Don Chomphu	301005
1558	863953.52	1689437.24	That Prasat	301006
1559	855394.02	1686123.74	Lum Khao	301007
1560	857246.40	1696135.75	Makha	301008
1561	852130.75	1696022.75	Phon Songkhram	301009
1562	839206.06	1678362.20	Chan At	301010
1563	845634.95	1695591.23	Kham Thao	301011
1564	845049.18	1677980.21	Dan Khla	301012
1565	844494.91	1688499.22	Lam Kho Hong	301013
1566	842339.47	1684596.72	Muang Pra Sat	301014
1567	851117.24	1672463.21	Don Wai	301015
1568	853531.12	1666847.20	Lam Mun	301016
1569	842870.99	1699568.24	Kham Sakae Saeng	301101
1570	831079.97	1706343.71	Non Muang	301102
1571	848102.10	1703768.25	Muang Nat	301103
1572	833708.60	1699078.73	Chi Wuk	301104
1573	837564.99	1696204.23	Pa Ngad	301105
1574	844494.92	1709161.26	Nong Hua Fan	301106
1575	838046.12	1707048.74	Muang Kaset	301107
1576	868479.51	1727290.79	Bua Yai	301201
1577	857254.09	1730866.28	Huai Yang	301203
1578	867122.47	1717842.29	Sema Yai	301204
1579	870895.97	1715590.79	Don Tanin	301206
1580	854386.75	1727210.27	Nong Bua Sa-at	301207
1581	856802.50	1720920.75	Non Thong Lang	301208
1582	873972.01	1725620.81	Kut Chok	301214
1583	865582.24	1732914.80	Dan Chang	301215
1584	858685.73	1737628.29	Khun Thong	301220
1585	861410.65	1723352.29	Nong Chang Yai	301224
1586	897979.77	1720566.84	Pra Thai	301301
1587	891846.26	1722100.82	Kratumrai	301303
1588	888965.14	1737009.33	Wang Mai Daeng	301304
1589	905279.73	1720470.35	Talat Sai	301306
1590	897321.51	1728059.85	Nong Phluang	301307
1591	903494.76	1728403.36	Nong Khai	301308
1592	891057.46	1729572.83	Han Huai Sai	301309
1593	907464.59	1713063.83	Don Man	301310
1594	888347.97	1714827.32	Nang Ram	301313
1595	895024.68	1737254.34	Non Phet	301314
1596	894680.68	1716731.82	Thung Sawang	301315
1597	901171.99	1712531.84	Kok Klang	301317
1598	899510.24	1732153.86	Muang Don	301318
1599	826636.50	1630023.62	Muang Pak	301401
1600	817286.73	1634213.11	Ta Khu	301402
1601	831575.95	1633403.64	Khok Thai	301403
1602	833524.46	1620395.62	Samrong	301404
1603	803193.60	1619918.56	Takhop	301405
1604	827555.65	1625289.12	Nok Ok	301406
1605	834504.57	1624348.62	Don	301407
1606	820038.29	1623696.59	Tum	301409
1607	823046.94	1624270.10	Ngiew	301410
1608	828620.71	1617989.61	Sakae Rat	301411
1609	811666.72	1614243.08	Lam Nang Kaeo	301412
1610	819840.30	1615940.58	Phu Luang	301416
1611	826629.44	1636976.63	Thong Chai Nua	301417
1612	814652.10	1624617.60	Suk Kasem	301418
1613	829759.02	1623225.11	Kasem Sap	301419
1614	813451.89	1619694.14	Bo Pla Thong	301420
1615	874998.64	1686061.77	Nai Muang	301501
1616	867994.43	1684278.76	Samrit	301502
1617	890069.48	1685728.79	Bot	301503
1618	871280.77	1692266.77	Krabuang Yai	301504
1619	882102.31	1693807.79	Tha Luang	301505
1620	881977.79	1681893.27	Rang Ka Yai	301506
1621	879473.86	1699109.28	Chi Wan	301507
1622	877870.45	1675631.74	Nikhom Srang Ton Eng	301508
1623	890278.64	1708626.81	Krachon	301509
1624	889462.10	1701080.81	Dong Yai	301510
1625	867072.35	1679632.75	Tarn La Lord	301511
1626	870649.55	1674250.24	Nong Ra Vieng	301512
1627	892466.29	1657956.26	Huai Thalang	301601
1628	889739.12	1663715.27	Thap Sawai	301602
1629	889886.46	1668788.26	Muang Phup Phla	301603
1630	891191.55	1675751.78	Lung Takhian	301604
1631	883233.83	1659975.74	Hin Dat	301605
1632	898662.26	1669532.27	Ngiu	301606
1633	902596.53	1666250.78	Kong Rot	301607
1634	881351.21	1669002.74	Lung Pra Du	301608
1635	896935.53	1663919.27	Ta Ko	301609
1636	897389.34	1658137.26	Huai Kaen	301610
1637	901294.67	1700536.81	Chum Phuang	301701
1638	895445.11	1699275.80	Prasuk	301702
1639	901377.22	1689924.30	Tha Lat	301703
1640	898638.89	1681554.29	Sarai	301704
1641	908689.75	1679930.32	Talat Sai	301705
1642	911521.04	1687963.81	Non Rang	301710
1643	900674.85	1706911.83	Nong Lak	301714
1644	900915.15	1679254.30	Non Tun	301716
1645	908818.50	1700430.83	Non Yo	301717
1646	805810.96	1643428.11	Sung Noen	301801
1647	800540.38	1657159.62	Sema	301802
1648	807962.30	1651086.63	Kho Rat	301803
1649	807162.39	1654367.14	Bung Khi Lek	301804
1650	806811.84	1660041.14	Non Kha	301805
1651	811281.94	1655972.14	Khong Yang	301806
1652	801648.48	1637340.59	Maklua Kao	301807
1653	793896.35	1636163.58	Maklua Mai	301808
1654	813650.62	1647521.13	Na Klang	301809
1655	813426.97	1637365.61	Nong Takai	301810
1656	813227.81	1650577.64	Kut Chik	301811
1657	817493.23	1657598.13	Kham Thale So	301901
1658	813349.28	1657590.14	Pong Daeng	301902
1659	816999.12	1668768.67	Phan Dung	301903
1660	813911.57	1669722.16	Nong Sruang	301904
1661	814783.63	1664313.65	Bung O	301905
1662	792708.38	1649619.11	Si Khiu	302001
1663	795095.20	1658759.12	Ban Han	302002
1664	780935.45	1662560.61	Kritsana	302003
1665	784860.85	1638691.57	Lat Bua Khao	302004
1666	778164.87	1657078.61	Nong Ya Khao	302005
1667	793377.45	1652294.10	Kut Noi	302006
1668	767856.42	1650669.07	Nong Nam Sai	302007
1669	780943.58	1666040.11	Wang Rong Yai	302008
1670	788519.95	1640462.08	Mittraphap	302009
1671	770091.11	1641633.56	Khlong Pai	302010
1672	764624.89	1664918.59	Don Muang	302011
1673	794107.63	1663290.63	Nong Bua Noi	302012
1674	755490.74	1629100.53	Pak Chong	302101
1675	747308.84	1620692.01	Klang Dong	302102
1676	765101.68	1636395.56	Chan Thuk	302103
1677	780599.30	1613347.53	Wang Kata	302104
1678	757804.92	1602103.00	Mu Si	302105
1679	770414.11	1625292.05	Nong Sarai	302106
1680	766376.16	1616804.52	Khanong Phra	302107
1681	777580.55	1603744.02	Pong Ta Long	302108
1682	783101.83	1621894.55	Khlong Muang	302109
1683	754690.37	1615277.51	Nong Nam Sang	302110
1684	778107.42	1631451.06	Wang Sai	302111
1685	739214.82	1616898.00	Phyayen	302112
1686	869086.09	1624981.17	Nong Bunnak	302201
1687	867508.95	1639801.19	Sara Phi	302202
1688	871861.31	1632487.69	Thai Charoen	302203
1689	860060.27	1630033.65	Nong Hua Rat	302204
1690	857798.49	1639342.18	Laem Thong	302205
1691	864416.93	1624567.16	Nong Ta Kai	302206
1692	861078.46	1639570.69	Lung Kwao	302207
1693	858168.48	1622602.65	Nong Mai Phai	302208
1694	867323.36	1632487.68	Ban Mai	302209
1695	850099.53	1743351.30	Kaeng Sanam Nang	302301
1696	856125.47	1745274.30	Non Samran	302302
1697	846798.48	1734864.77	Bung Phalai	302303
1698	839105.84	1734287.27	Si Suk	302304
1699	842064.12	1741311.77	Bung Sam Rong	302305
